class,exposure,magnetization_mean
1,1381.0,0.9106345663265306
2,1007.0,0.798469387755102
3,981.0,0.7850765306122448
4,962.0,0.857780612244898
5,948.0,0.8337850765306123
6,489.0,0.7825255102040816
7,461.0,0.8244579081632654
8,461.0,0.783641581632653
9,510.0,0.8406409438775511
