class,rep,magnetization
1,0,0.8979591836734694
1,1,0.9056122448979592
1,2,0.8979591836734694
1,3,0.9005102040816326
1,4,0.9158163265306123
1,5,0.9158163265306123
1,6,0.9030612244897959
1,7,0.9107142857142857
1,8,0.9158163265306123
1,9,0.9132653061224489
1,10,0.923469387755102
1,11,0.9209183673469388
1,12,0.9030612244897959
1,13,0.9132653061224489
1,14,0.9158163265306123
1,15,0.8979591836734694
1,16,0.8979591836734694
1,17,0.9132653061224489
1,18,0.9183673469387755
1,19,0.9209183673469388
1,20,0.9005102040816326
1,21,0.9107142857142857
1,22,0.9158163265306123
1,23,0.8979591836734694
1,24,0.9107142857142857
1,25,0.9158163265306123
1,26,0.9158163265306123
1,27,0.9056122448979592
1,28,0.9132653061224489
1,29,0.9260204081632653
1,30,0.9107142857142857
1,31,0.9158163265306123
2,0,0.7857142857142857
2,1,0.8086734693877551
2,2,0.7806122448979592
2,3,0.7933673469387755
2,4,0.7857142857142857
2,5,0.8035714285714286
2,6,0.798469387755102
2,7,0.8137755102040817
2,8,0.8086734693877551
2,9,0.798469387755102
2,10,0.8061224489795918
2,11,0.7959183673469388
2,12,0.798469387755102
2,13,0.798469387755102
2,14,0.8010204081632653
2,15,0.7882653061224489
2,16,0.798469387755102
2,17,0.7959183673469388
2,18,0.7933673469387755
2,19,0.7933673469387755
2,20,0.8010204081632653
2,21,0.8112244897959183
2,22,0.798469387755102
2,23,0.8010204081632653
2,24,0.7908163265306123
2,25,0.798469387755102
2,26,0.8010204081632653
2,27,0.8035714285714286
2,28,0.7959183673469388
2,29,0.798469387755102
2,30,0.8035714285714286
2,31,0.8010204081632653
3,0,0.7908163265306123
3,1,0.7882653061224489
3,2,0.7908163265306123
3,3,0.7908163265306123
3,4,0.7755102040816326
3,5,0.7857142857142857
3,6,0.7857142857142857
3,7,0.7704081632653061
3,8,0.7729591836734694
3,9,0.7882653061224489
3,10,0.7882653061224489
3,11,0.7933673469387755
3,12,0.7806122448979592
3,13,0.7831632653061225
3,14,0.7755102040816326
3,15,0.7857142857142857
3,16,0.7806122448979592
3,17,0.7882653061224489
3,18,0.7882653061224489
3,19,0.7857142857142857
3,20,0.7857142857142857
3,21,0.7857142857142857
3,22,0.798469387755102
3,23,0.7806122448979592
3,24,0.7882653061224489
3,25,0.7831632653061225
3,26,0.7831632653061225
3,27,0.7806122448979592
3,28,0.7882653061224489
3,29,0.7780612244897959
3,30,0.7857142857142857
3,31,0.7959183673469388
4,0,0.8622448979591837
4,1,0.8647959183673469
4,2,0.8622448979591837
4,3,0.8545918367346939
4,4,0.8545918367346939
4,5,0.8647959183673469
4,6,0.8494897959183674
4,7,0.8647959183673469
4,8,0.8622448979591837
4,9,0.8494897959183674
4,10,0.8596938775510204
4,11,0.8443877551020408
4,12,0.8673469387755102
4,13,0.8622448979591837
4,14,0.8520408163265306
4,15,0.8596938775510204
4,16,0.8724489795918368
4,17,0.8545918367346939
4,18,0.8673469387755102
4,19,0.8520408163265306
4,20,0.8469387755102041
4,21,0.8545918367346939
4,22,0.8622448979591837
4,23,0.8647959183673469
4,24,0.8494897959183674
4,25,0.8545918367346939
4,26,0.8545918367346939
4,27,0.8520408163265306
4,28,0.8571428571428571
4,29,0.8596938775510204
4,30,0.8545918367346939
4,31,0.8571428571428571
5,0,0.8316326530612245
5,1,0.8418367346938775
5,2,0.8341836734693877
5,3,0.8290816326530612
5,4,0.8316326530612245
5,5,0.8341836734693877
5,6,0.8392857142857143
5,7,0.8418367346938775
5,8,0.8316326530612245
5,9,0.826530612244898
5,10,0.8392857142857143
5,11,0.8290816326530612
5,12,0.8188775510204082
5,13,0.8469387755102041
5,14,0.8239795918367347
5,15,0.8367346938775511
5,16,0.8137755102040817
5,17,0.8367346938775511
5,18,0.8494897959183674
5,19,0.8418367346938775
5,20,0.8367346938775511
5,21,0.8316326530612245
5,22,0.8418367346938775
5,23,0.8316326530612245
5,24,0.8443877551020408
5,25,0.8290816326530612
5,26,0.8290816326530612
5,27,0.826530612244898
5,28,0.826530612244898
5,29,0.8418367346938775
5,30,0.8290816326530612
5,31,0.8341836734693877
6,0,0.7729591836734694
6,1,0.7882653061224489
6,2,0.7704081632653061
6,3,0.7755102040816326
6,4,0.7806122448979592
6,5,0.7729591836734694
6,6,0.7857142857142857
6,7,0.7780612244897959
